"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JSON", "JavaScript", "Svelte", "XML", "Ignore", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 2, 14
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\.prettierrc", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 15, 39
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\package-lock.json", "JSON", 0, 0, 0, 6781, 0, 0, 0, 0, 0, 0, 0, 1, 6782
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\package.json", "JSON", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 1, 88
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\playwright.config.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\app.d.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 18
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\app.postcss", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\hooks.server.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 61
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\index.test.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Anggota.svelte", "Svelte", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Modal\ModalEditPost.svelte", "Svelte", 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 52, 28, 399
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Modal\ModalSelect.svelte", "Svelte", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 7, 19, 188
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Notification\Invite.svelte", "Svelte", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Notification\Like.svelte", "Svelte", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Notification\Mention.svelte", "Svelte", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\alifa\Documents\Kuliah\SKRIPSI\DEV\smart-office\src\lib\Posts\CommentComponent.svelte", "Svelte", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 11, 132
